amfi_code,hhi,num_sectors,scheme_name
119092,2967.6908999999996,7,Axis Bluechip Fund - Regular - Growth
148569,2549.9193999999998,7,Mirae Asset Tax Saver Fund - Regular - Growth
125498,2531.5500000000006,6,HDFC Mid-Cap Opportunities Fund - Direct - Growth
102887,2513.8255,6,UTI Flexi Cap Fund - Regular - Growth
149323,2410.7663999999995,7,DSP Midcap Fund - Regular - Growth
120505,2386.9504,7,ICICI Pru Midcap Fund - Regular - Growth
118635,2374.9677,6,Nippon India ETF Nifty 50 BeES
119599,2323.612,7,SBI Small Cap Fund - Direct Plan - Growth
120506,2314.6433999999995,7,ICICI Pru Value Discovery Fund - Regular - Growth
100033,2276.4744,7,HDFC Mid-Cap Opportunities Fund - Regular - Growth
119552,2275.0834999999997,7,SBI Bluechip Fund - Direct Plan - Growth
101207,2227.2651,6,ABSL Small Cap Fund - Regular - Growth
120504,2212.1303,8,ICICI Pru Bluechip Fund - Direct - Growth
118633,2212.0031999999997,7,Nippon India Large Cap Fund - Direct - Growth
148568,2180.8585,6,Mirae Asset Emerging Bluechip Fund - Regular - Growth
120841,2158.9314999999997,7,Kotak Bluechip Fund - Regular - Growth
118632,2072.5894000000003,6,Nippon India Large Cap Fund - Regular - Growth
148567,2012.4815,6,Mirae Asset Large Cap Fund - Regular - Growth
149324,1887.0081999999998,9,DSP Small Cap Fund - Regular - Growth
119598,1880.8485000000003,7,SBI Small Cap Fund - Regular Plan - Growth
119093,1842.3320000000003,8,Axis Bluechip Fund - Direct - Growth
149322,1826.9533,7,DSP Top 100 Equity Fund - Regular - Growth
120503,1821.6750000000002,7,ICICI Pru Bluechip Fund - Regular - Growth
102885,1807.1201999999998,8,UTI Nifty 50 Index Fund - Regular - Growth
100016,1805.8807999999997,8,HDFC Top 100 Fund - Regular Plan - Growth
101206,1800.4224999999997,7,ABSL Frontline Equity Fund - Regular - Growth
119094,1751.0024999999998,6,Axis Midcap Fund - Regular - Growth
125497,1724.1088,7,HDFC Top 100 Fund - Direct Plan - Growth
120842,1620.6189,8,Kotak Emerging Equity Fund - Regular - Growth
118634,1602.9924,8,Nippon India Small Cap Fund - Regular - Growth
119095,1595.8229000000001,8,Axis Small Cap Fund - Regular - Growth
119551,1424.9103999999998,8,SBI Bluechip Fund - Regular Plan - Growth
120843,1362.0616,9,Kotak Flexicap Fund - Regular - Growth
102886,1240.2024000000001,10,UTI Mid Cap Fund - Regular - Growth
