amfi_code,scheme_name,category,alpha,beta,r_squared,p_value,n_obs
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.3033696538698332,-0.023196062044059707,0.00014142575502721732,0.6871791461096045,1149
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.3005787817097677,0.011455159960520708,3.5329906267955625e-05,0.84049358918433,1149
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.2926358334175106,0.0005490042506317283,1.345534167566965e-07,0.9900902356906137,1149
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.2827036785246582,0.01813388408385924,0.00017488886568129544,0.6542952865906955,1149
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.27330465038306057,-0.022829569792426545,0.000343054342715145,0.5305284121437437,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.2719535450128533,0.0051035258305283,1.2066520635068112e-05,0.9063691402409381,1149
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.2698375144191807,0.023683558075848606,0.00046254369066238394,0.4664265197542751,1149
149323,DSP Midcap Fund - Regular - Growth,Equity,0.26598577542043045,-0.0025230046646992346,3.3579781920088265e-06,0.9505247706268665,1149
119094,Axis Midcap Fund - Regular - Growth,Equity,0.2607666908004223,-0.06626542862803757,0.0019368789369602314,0.1359875235249848,1149
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.23201007160635082,-0.03175144113890974,0.0008869788879322824,0.31314302723084503,1149
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.21829397904608644,-0.00835383212696202,5.791756270127831e-05,0.7966457465470186,1149
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.21399784776051212,0.02108631625012805,0.0003480482030714258,0.5275509209180672,1149
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.2119482701352573,0.01623216976141703,0.00021216129075887516,0.6218551541356451,1149
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.20873010086942337,-0.026387719943843004,0.00048592647527973177,0.4553703178741986,1149
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.1986859936686296,-0.026159307513513398,0.0005850821704543425,0.41270558180205436,1149
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.17729754927531766,0.048820404259577385,0.0018401792783071574,0.14617594874598647,1149
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.17703302365844073,-0.04026895236982061,0.0013974446083318615,0.20543745183411524,1149
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.1750072167561127,0.10349663691337592,0.0027930065610663247,0.07333892285784299,1149
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.17048756803412696,-0.019486785689474546,0.00038285030730923926,0.5075948866942015,1149
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.1625385327998104,0.041896462728119754,0.0012571178108220732,0.22978488107543138,1149
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.16211256794033255,0.016682689437770803,0.00018619166432850108,0.6440466770890058,1149
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.15643835948169668,-0.03663900671860935,0.0011382947171084277,0.25315678850632356,1149
118635,Nippon India ETF Nifty 50 BeES,Equity,0.1513635464823924,-0.0014335213897801293,2.0253408972328315e-06,0.9615666405413446,1149
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.13173190226099432,-0.004050271130006511,1.322760788085031e-05,0.901989502440503,1149
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.13042924450705445,0.0363563990221998,0.0012113711061211869,0.2384593087156638,1149
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.11989100971217971,0.00905441262173916,4.043746553634249e-05,0.8295182110189219,1149
101207,ABSL Small Cap Fund - Regular - Growth,Equity,0.10897091901704538,-0.06528924788351526,0.0010641052735572626,0.26923382859979944,1149
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.08232801295222093,0.02588321244009315,0.000569203809024487,0.4191212046285578,1149
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.0780443887615508,0.018056874208118173,0.00016915548838314384,0.6596465767530764,1149
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.0689952982167755,0.009730745001153639,8.082637693810776e-05,0.7608083592013818,1149
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.06746210411099539,-0.0004440926329707229,0.00013430661440679839,0.6947484438507018,1149
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.06455677495375998,-0.00040074423947840073,0.00010125435692271747,0.7333100820090802,1149
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.060861457957871144,0.00026670968338238303,4.6076236771051865e-05,0.8182140691419656,1149
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.05620895216638369,-0.006413850728276473,0.0004342603321720048,0.48038566300028684,1149
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.05074772999976104,0.0012566742731558512,1.6516652310332888e-05,0.8905486864137586,1149
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,0.048824215945539845,0.062001804382671694,0.0010259205326765965,0.27800396233826213,1149
119095,Axis Small Cap Fund - Regular - Growth,Equity,0.04801595363775955,-0.06695117463929198,0.0011851593464486706,0.24360834209000373,1149
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.042817920315060876,0.0011582183155281404,1.4612842041844878e-05,0.897012451516273,1149
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.03747580763443281,-0.05826843143880891,0.002665032698133324,0.08026442483699604,1149
102886,UTI Mid Cap Fund - Regular - Growth,Equity,0.028969397866379445,-0.04212502902189432,0.0008964294600687576,0.31057770814660457,1149
